"astro-ph/9411107","Robert Crittenden","R.G. Crittenden, D. Coulson and N.G. Turok","Temperature-Polarization Correlations from Tensor Fluctuations","5 pages, revtex, 5 figures, compressed and uuencoded","Phys.Rev.D52:5402-5406,1995","10.1103/PhysRevD.52.5402","PUPT 94-1514","astro-ph hep-ph",,"  We study the polarization-temperature correlations on the cosmic microwave
sky resulting from an initial scale invariant spectrum of tensor (gravity wave)
fluctuations, such as those which might arise during inflation. The correlation
function has the opposite sign to that for scalar fluctuations on large scales,
raising the possibility of a direct determination of whether the microwave
anisotropies have a significant tensor component. We briefly discuss the
important problem of estimating the expected foreground contamination.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 17:56:39 GMT""}]","2010-12-13"
"hep-th/9411216","Emili Elizalde","E. Elizalde, S. Leseduarte and S.D. Odintsov","Higher Derivative Four-Fermion Model in Curved Spacetime","LaTeX, 10 pages, 8 figures in separate uu-file","Phys.Lett.B347:33-40,1995","10.1016/0370-2693(95)00032-G","UB-ECM-PF 94/33","hep-th",,"  We discuss the phase structure of a higher derivative four-fermion model in
four dimensions in curved spacetime in frames of the $\frac{1}{N_c}$-expansion.
First, we evaluate in our model the effective potential of two composite
scalars in the linear curvature approximation using a local momentum
representation in curved spacetime for the higher-derivative propagator which
naturally appears. The symmetry breaking phenomenon and phase transition
induced by curvature are numerically investigated. A numerical study of the
dynamically generated fermionic mass, which depends on the coupling constants
and on the curvature, is also presented.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 13:37:04 GMT""}]","2009-09-25"
"hep-th/9411217","Itzhak Bars","Itzhak Bars","Classical Solutions of 2D String Theory in any Curved Spacetime","Latex, 31 pages, including 6 figures. Lecture at the ""Journe'e
  Cosmologique"", Observatoire de Paris, May 94",,,"USC-94/HEP-B3","hep-th",,"  The complete set of solutions of two dimensional classical string theory are
constructed for any curved spacetime. They describe folded strings moving in
curved spacetime. Surprizing stringy behavior becomes evident at singularities
such as black holes.The solutions are given in the form ofa map from the world
sheet to target spacetime, where the world sheet has to be divided into lattice
-like patches corresponding to different maps. A recursion relation analogous
to a transfer matrix connects these maps into a single continuous map. This
``transfer matrix'' encodes the properties of the world sheet lattice as well
as the geometry of spacetime. The solutions are completely classified by their
behavior in the asymptotically flat region of spacetime where they reduce, as
boundary conditions, to the folded string solutions that have been known for 19
years.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 14:32:35 GMT""}]","2007-05-23"
"hep-th/9411218","Costas Daskalo","Dennis Bonatsos, C. Daskaloyannis, P. Kolokotronis, D. Lenis","The symmetry algebra of the N-dimensional anisotropic quantum harmonic
  oscillator with rational ratios of frequencies and the Nilsson model","17 pages, LaTeX twice",,,"DEM-NT 94-36 (Demokritos Preprint), THES-TP 26/94 (Thessaloniki
  Report)","hep-th",,"  The symmetry algebra of the N-dimensional anisotropic quantum harmonic
oscillator with rational ratios of frequencies is constructed by a method of
general applicability to quantum superintegrable systems. The special case of
the 3-dim oscillator is studied in more detail, because of its relevance in the
description of superdeformed nuclei and nuclear and atomic clusters. In this
case the symmetry algebra turns out to be a nonlinear extension of the u(3)
algebra. A generalized angular momentum operator useful for labeling the
degenerate states is constructed, clarifying the connection of the present
formalism to the Nilsson model in nuclear physics.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 15:09:09 GMT""}]","2007-05-23"
"math/9411204","Sergio Fenley","Sergio R. Fenley","The structure of branching in Anosov flows of 3-manifolds","LaTeX, uuencoded tar file, uses 2 included macro files, contains 17
  Encapsulated PostScript illustrations, 45 pages",,,"formerly cd-hg/9411001","math.GT math.DS",,"  In this article we study the topological structure of the lifts to the
universal of the stable and unstable foliations of $3$-dimensional Anosov
flows. In particular we consider the case when these foliations do not have
Hausdorff leaf space. We completely determine the structure of the set of non
separated leaves from a given leaf in one of these foliations. As a consequence
of this suspensions are characterized, up to topological conjugacy, as the only
$3$-dimensional Anosov flows without freely homotopic closed orbits.
Furthermore the structure of branching is related to the topology of the
manifold: if there are infinitely many leaves not separated from each other,
then there is an incompressible torus transverse to the flow. Transitivity is
not assumed for these results. Finally, if the manifold has negatively curved
fundamental group we derive some important properties of the limit sets of
leaves in the universal cover.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 18:01:15 GMT""}]","2009-09-25"
"math/9411217",,"Jinghua Kuang","Eigenfunctions on the Finite Poincar\'e Plane",,,,"MSRI 1995-015","math.CO math.NT",,"  Let $F$ be a finite field of odd number of elements. Let $F(\sqrt{\delta})$
be its quadratic extension. $F(\sqrt{\delta})-F$ is the so-called finite
Poincare plane. This paper relates the bases of eigenfunctions constructed by
Evans and by Kuang. The finite Poincare plane can be viewed as a Ramanujan
graph. This paper also provides evidence for Terras' conjecture regarding the
asymptotic distribution of the eigenvalus of the adjacency matrices.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 00:00:00 GMT""}]","2008-02-03"
"math/9411229",,"Richard A. Askey, Mizan Rahman, Serge\u{\i} K. Suslov","On a general q-Fourier transformation with nonsymmetric kernels",,,,"OP-SF 29 Nov 1994","math.CA math.QA",,"  Wiener used the Poisson kernel for the Hermite polynomials to deal with the
classical Fourier transform. Askey, Atakishiyev and Suslov used this approach
to obtain a q-Fourier transform by using the continuous q-Hermite polynomials.
Rahman and Suslov extended this result by taking the Askey--Wilson polynomials,
considered to be the most general continuous classical orthogonal polynomials.
The theory of q-Fourier transformation is further extended here by considering
a nonsymmetric version of the Poisson kernel with Askey--Wilson polynomials.
This approach enables us to obtain some new results, for example, the complex
and real orthogonalities of these kernels.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 00:00:00 GMT""}]","2016-09-06"
"math/9411230",,"Paul G. A. Floris","A non-commutative discrete hypergroup associated with q-disk polynomials",,,,"OP-SF 29 Nov 1994","math.QA math.CA",,"  The aim of this paper is to give an example of a non-commutative discrete
hypergroup associated with $q$-disk polynomials. These are polynomials
$R_{l,m}^{(\a)}$ in two non-commuting variables which are expressed through
little $q$-Jacobi polynomials and that appear, for the value $\a=n-2$, as zonal
spherical functions on a quantum analogue of the homogeneous space
$U(n)/U(n-1)$. This fact was first proved in [NYM] (see also [Fl]). In a
previous paper [Fl] we proved an addition formula for these $q$-disk
polynomials. It is this addition formula that will allow us to prove positivity
of linearization coefficients in a manner similar to [Koo1], and to construct
from it a DJS-hypergroup following [Koo4].
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 00:00:00 GMT""}]","2016-09-06"
"math/9411231",,"Paul G. A. Floris","Addition formula for q-disk polynomials",,,,"OP-SF 29 Nov 1994","math.QA math.CA",,"  The purpose of this paper is to present an addition formula for so-called
$q$-disk polynomials, using some quantum group theory. This result is a
$q$-analogue of a result which was proved around 1970 by ${\breve{\text
S}}$apiro [S] and Koornwinder [Koo1,2] independently. They considered the
homogeneous space $U(n)/U(n-1)$, were $U(n)$ denotes the group of unitary
transformations of the vector space $\C^n$, and identified the corresponding
zonal spherical functions as disk polynomials, in the terminology of [Koo2].
These are orthogonal polynomials in two variables whose orthogonality measure
is supported by the closed unit disk in the complex plane, and which can be
expressed in terms of Jacobi polynomials $P_n^{(\a,\b)} (x)$ for certain
integer values of the parameters $\a$ and $\b$. The associated spher ical
funtions were shown to be also expressible in terms of disk polynomials, and
from this an addition formula was proved for (positive) integer values of $\a$
and $\b$. By an easy argument this identity was then extended to all complex
values of $\a$ (and from this Koornwinder could even derive an addition formula
for general Jacobi polynomials). And in fact the line of arguing and the
results in this paper will be very similar to (part of) the ones in [Koo2].
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 00:00:00 GMT""}]","2016-09-06"
"mtrl-th/9411009","Anders E. Carlsson","A. E. Carlsson","Order-N Density-Matrix Electronic-Structure Method for General
  Potentials","13 pages, REVTEX, 7 postscript figures (not quite perfect)",,"10.1103/PhysRevB.51.13935",,"mtrl-th cond-mat.mtrl-sci",,"  A new order-N method for calculating the electronic structure of general
(non-tight-binding) potentials is presented. The method uses a combination of
the ``purification''-based approaches used by Li, Nunes and Vanderbilt, and
Daw, and a representation of the density matrix based on ``travelling basis
orbitals''. The method is applied to several one-dimensional examples,
including the free electron gas, the ``Morse'' bound-state potential, a
discontinuous potential that mimics an interface, and an oscillatory potential
that mimics a semiconductor. The method is found to contain Friedel
oscillations, quantization of charge in bound states, and band gap formation.
Quantitatively accurate agreement with exact results is found in most cases.
Possible advantages with regard to treating electron-electron interactions and
arbitrary boundary conditions are discussed.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 22:38:01 GMT""}]","2016-09-07"
"nucl-th/9411032",,"Wolfgang Bauer","Temperatures of Fragment Kinetic Energy Spectra","LaTeX, 7 pages, 2 figures available from author",,"10.1103/PhysRevC.51.803","MSUCL-952, submitted to Phys. Rev. C","nucl-th",,"  Multifragmentation reactions without large compression in the initial state
(proton-induced reactions, reverse-kinematics, projectile fragmentation) are
examined, and it is verified quantitatively that the high temperatures obtained
from fragment kinetic energy spectra and lower temperatures obtained from
observables such as level population or isotope ratios can be understood in a
common framework.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 18:27:05 GMT""},{""version"":""v2"",""created"":""Tue, 29 Nov 1994 05:34:09 GMT""}]","2009-10-28"
"nucl-th/9411033","Klaus Werner","Klaus Werner","String Models for Ultrarelativistic Hadronic Interactions: Concepts,
  Limitations, and New Directions","Complete paper enclosed as postscript file (uuencoded). Invited
  Lecture at the International Workshop on Multi-Particle Correlations and
  Nuclear Reactions, CORINNE II, 6.-10. Sept. 1994, Nantes, France",,,"HD-TVP-94-20","nucl-th hep-ph",,"  After a brief description of the basic theoretical concepts of the string
model approach, we discuss the limitations of the method, at low energies, at
high energies, and at high particle densities. We also report on recent efforts
to overcome these limitations.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 10:12:16 GMT""}]","2007-05-23"
"nucl-th/9411034",,"D. Drechsel (Universitaet Mainz)","The Drell-Hearn-Gerasimov Sum Rule","20 pages LATEX plus 12 figures (available by fax from the author)","Prog.Part.Nucl.Phys.34:181-200,1995","10.1016/0146-6410(95)00014-A","MKPH-T-94-18","nucl-th",,"  The Drell-Hearn-Gerasimov (DHG) sum rule relates the helicity structure of
the photoabsorption cross section to the anomalous magnetic moment of the
nucleon. It is based on Lorentz and gauge invariance, crossing symmetry,
causality and unitarity. A generalized DHG sum rule my be derived for virtual
photons. At low momentum transfer this generalized sum rule is saturated by the
resonance region, at high momentum transfer it may be expressed by the parton
spin distributions measured in deep inelastic scattering. The
longitudinal-transverse interference determines the Cottingham sum rule, which
is related to the electric and magnetic form factors over the whole range of
momentum transfer.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 10:15:42 GMT""}]","2009-12-15"
"patt-sol/9411002","Gene Wayne","R.D. Pierce (Dept. of Math., Pennsylvania State University), C. E.
  Wayne (Dept. of Math., Pennsylvania State University)","On the validity of mean-field amplitude equations for counterpropagating
  wavetrains","16 pages, uuencoded, tar-compressed Postscript file",,"10.1088/0951-7715/8/5/007",,"patt-sol nlin.PS",,"  We rigorously establish the validity of the equations describing the
evolution of one-dimensional long wavelength modulations of counterpropagating
wavetrains for a hyperbolic model equation, namely the sine-Gordon equation. We
consider both periodic amplitude functions and localized wavepackets. For the
localized case, the wavetrains are completely decoupled at leading order, while
in the periodic case the amplitude equations take the form of mean-field
(nonlocal) Schr\""odinger equations rather than locally coupled partial
differential equations. The origin of this weakened coupling is traced to a
hidden translation symmetry in the linear problem, which is related to the
existence of a characteristic frame traveling at the group velocity of each
wavetrain. It is proved that solutions to the amplitude equations dominate the
dynamics of the governing equations on asymptotically long time scales. While
the details of the discussion are restricted to the class of model equations
having a leading cubic nonlinearity, the results strongly indicate that
mean-field evolution equations are generic for bimodal disturbances in
dispersive systems with \O(1) group velocity.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 03:01:17 GMT""}]","2009-10-28"
